Data set contains 1000 examples.
[forest size], [trialNum], [training error], [cross-set error]
21, 17, 0.000000, 5.600000
21, 18, 0.000000, 4.000000
21, 19, 0.000000, 6.400000
26, 0, 0.000000, 2.400000
26, 1, 0.000000, 10.400000
26, 2, 0.000000, 10.400000
26, 3, 0.000000, 8.000000
26, 4, 0.000000, 8.800000
26, 5, 0.000000, 9.600000
26, 6, 0.114286, 8.800000
26, 7, 0.000000, 7.200000
26, 8, 0.000000, 6.400000
26, 9, 0.000000, 7.200000
26, 10, 0.000000, 3.200000
26, 11, 0.000000, 11.200000
26, 12, 0.000000, 7.200000
26, 13, 0.000000, 6.400000
26, 14, 0.000000, 5.600000
26, 15, 0.000000, 8.000000
26, 16, 0.000000, 10.400000
26, 17, 0.000000, 10.400000
26, 18, 0.000000, 5.600000
26, 19, 0.000000, 7.200000
31, 0, 0.000000, 8.000000
31, 1, 0.000000, 4.800000
31, 2, 0.000000, 7.200000
31, 3, 0.000000, 8.000000
31, 4, 0.000000, 4.800000
31, 5, 0.000000, 3.200000
31, 6, 0.000000, 8.000000
31, 7, 0.000000, 8.000000
31, 8, 0.000000, 8.800000
31, 9, 0.000000, 4.800000
31, 10, 0.000000, 6.400000
31, 11, 0.000000, 7.200000
31, 12, 0.000000, 4.000000
31, 13, 0.000000, 7.200000
31, 14, 0.000000, 8.000000
31, 15, 0.000000, 6.400000
31, 16, 0.000000, 4.000000
31, 17, 0.000000, 8.000000
31, 18, 0.000000, 5.600000
31, 19, 0.000000, 2.400000
36, 0, 0.000000, 3.200000
36, 1, 0.000000, 7.200000
36, 2, 0.000000, 7.200000
36, 3, 0.000000, 4.800000
36, 4, 0.000000, 13.600000
36, 5, 0.000000, 7.200000
36, 6, 0.000000, 5.600000
36, 7, 0.000000, 4.000000
36, 8, 0.000000, 5.600000
36, 9, 0.000000, 5.600000
36, 10, 0.000000, 7.200000
36, 11, 0.000000, 4.800000
36, 12, 0.000000, 5.600000
36, 13, 0.000000, 10.400000
36, 14, 0.000000, 8.800000
36, 15, 0.000000, 5.600000
36, 16, 0.000000, 6.400000
36, 17, 0.000000, 8.000000
36, 18, 0.000000, 5.600000
36, 19, 0.000000, 6.400000
41, 0, 0.000000, 5.600000
41, 1, 0.000000, 7.200000
41, 2, 0.000000, 4.800000
41, 3, 0.000000, 4.800000
41, 4, 0.000000, 8.000000
41, 5, 0.000000, 5.600000
41, 6, 0.000000, 1.600000
41, 7, 0.000000, 7.200000
41, 8, 0.000000, 7.200000
41, 9, 0.000000, 5.600000
41, 10, 0.000000, 4.000000
41, 11, 0.000000, 3.200000
41, 12, 0.000000, 5.600000
41, 13, 0.000000, 4.800000
41, 14, 0.000000, 8.000000
41, 15, 0.000000, 3.200000
41, 16, 0.000000, 8.800000
41, 17, 0.000000, 6.400000
41, 18, 0.000000, 4.800000
41, 19, 0.000000, 6.400000
46, 0, 0.000000, 5.600000
46, 1, 0.000000, 7.200000
46, 2, 0.000000, 6.400000
46, 3, 0.000000, 4.000000
46, 4, 0.000000, 8.800000
46, 5, 0.000000, 9.600000
46, 6, 0.000000, 8.000000
46, 7, 0.000000, 4.800000
46, 8, 0.000000, 5.600000
46, 9, 0.000000, 8.800000
46, 10, 0.000000, 5.600000
46, 11, 0.000000, 4.000000
46, 12, 0.000000, 4.000000
46, 13, 0.000000, 8.000000
46, 14, 0.000000, 6.400000
46, 15, 0.000000, 2.400000
46, 16, 0.000000, 4.000000
46, 17, 0.000000, 6.400000
46, 18, 0.000000, 4.000000
46, 19, 0.000000, 7.200000
51, 0, 0.000000, 8.000000
51, 1, 0.000000, 4.800000
51, 2, 0.000000, 5.600000
51, 3, 0.000000, 8.800000
51, 4, 0.000000, 7.200000
51, 5, 0.000000, 3.200000
51, 6, 0.000000, 4.800000
51, 7, 0.000000, 4.800000
51, 8, 0.000000, 5.600000
51, 9, 0.000000, 8.800000
51, 10, 0.000000, 4.800000
51, 11, 0.000000, 4.800000
51, 12, 0.000000, 5.600000
51, 13, 0.000000, 7.200000
51, 14, 0.000000, 4.800000
51, 15, 0.000000, 8.000000
51, 16, 0.000000, 4.000000
51, 17, 0.000000, 4.000000
51, 18, 0.000000, 5.600000
51, 19, 0.000000, 8.000000
56, 0, 0.000000, 5.600000
56, 1, 0.000000, 8.800000
56, 2, 0.000000, 4.000000
56, 3, 0.000000, 8.000000
56, 4, 0.000000, 5.600000
56, 5, 0.000000, 8.000000
56, 6, 0.000000, 11.200000
56, 7, 0.000000, 7.200000
56, 8, 0.000000, 10.400000
56, 9, 0.000000, 2.400000
56, 10, 0.000000, 1.600000
56, 11, 0.000000, 4.000000
56, 12, 0.000000, 8.000000
56, 13, 0.000000, 6.400000
56, 14, 0.000000, 8.800000
56, 15, 0.000000, 8.000000
56, 16, 0.000000, 5.600000
56, 17, 0.000000, 6.400000
56, 18, 0.000000, 5.600000
56, 19, 0.000000, 9.600000
61, 0, 0.000000, 5.600000
61, 1, 0.000000, 4.800000
61, 2, 0.000000, 6.400000
61, 3, 0.000000, 5.600000
61, 4, 0.000000, 5.600000
61, 5, 0.000000, 10.400000
61, 6, 0.000000, 4.000000
61, 7, 0.000000, 2.400000
61, 8, 0.000000, 4.000000
61, 9, 0.000000, 3.200000
61, 10, 0.000000, 5.600000
61, 11, 0.000000, 6.400000
61, 12, 0.000000, 3.200000
61, 13, 0.000000, 4.000000
61, 14, 0.000000, 4.800000
61, 15, 0.000000, 6.400000
61, 16, 0.000000, 4.800000
61, 17, 0.000000, 4.800000
61, 18, 0.000000, 4.000000
61, 19, 0.000000, 4.800000
66, 0, 0.000000, 8.000000
66, 1, 0.000000, 2.400000
66, 2, 0.000000, 4.000000
66, 3, 0.000000, 2.400000
66, 4, 0.000000, 4.000000
66, 5, 0.000000, 6.400000
66, 6, 0.000000, 0.800000
66, 7, 0.000000, 5.600000
66, 8, 0.000000, 4.000000
66, 9, 0.000000, 7.200000
66, 10, 0.000000, 4.800000
66, 11, 0.000000, 6.400000
66, 12, 0.000000, 4.000000
66, 13, 0.000000, 4.000000
66, 14, 0.000000, 2.400000
66, 15, 0.000000, 5.600000
66, 16, 0.000000, 6.400000
66, 17, 0.000000, 7.200000
66, 18, 0.000000, 4.800000
66, 19, 0.000000, 4.800000
71, 0, 0.000000, 3.200000
71, 1, 0.000000, 8.000000
71, 2, 0.000000, 2.400000
71, 3, 0.000000, 8.000000
71, 4, 0.000000, 4.800000
71, 5, 0.000000, 3.200000
71, 6, 0.000000, 6.400000
71, 7, 0.000000, 6.400000
71, 8, 0.000000, 5.600000
71, 9, 0.000000, 6.400000
71, 10, 0.000000, 6.400000
71, 11, 0.000000, 3.200000
71, 12, 0.000000, 5.600000
71, 13, 0.000000, 10.400000
71, 14, 0.000000, 2.400000
71, 15, 0.000000, 6.400000
71, 16, 0.000000, 2.400000
71, 17, 0.000000, 8.800000
71, 18, 0.000000, 3.200000
71, 19, 0.000000, 8.000000
76, 0, 0.000000, 4.000000
76, 1, 0.000000, 7.200000
76, 2, 0.000000, 4.800000
76, 3, 0.000000, 4.800000
76, 4, 0.000000, 5.600000
76, 5, 0.000000, 8.800000
76, 6, 0.000000, 7.200000
76, 7, 0.000000, 5.600000
76, 8, 0.000000, 2.400000
76, 9, 0.000000, 2.400000
76, 10, 0.000000, 4.800000
76, 11, 0.000000, 3.200000
76, 12, 0.000000, 7.200000
76, 13, 0.000000, 2.400000
76, 14, 0.000000, 8.800000
76, 15, 0.000000, 4.000000
76, 16, 0.000000, 8.000000
76, 17, 0.000000, 9.600000
76, 18, 0.000000, 11.200000
76, 19, 0.000000, 5.600000
81, 0, 0.000000, 4.800000
81, 1, 0.000000, 3.200000
81, 2, 0.000000, 8.000000
81, 3, 0.000000, 6.400000
81, 4, 0.000000, 4.800000
81, 5, 0.000000, 8.000000
81, 6, 0.000000, 4.800000
81, 7, 0.000000, 2.400000
81, 8, 0.000000, 4.000000
81, 9, 0.000000, 3.200000
81, 10, 0.000000, 7.200000
81, 11, 0.000000, 4.000000
81, 12, 0.000000, 4.000000
81, 13, 0.000000, 3.200000
81, 14, 0.000000, 6.400000
81, 15, 0.000000, 8.000000
81, 16, 0.000000, 6.400000
81, 17, 0.000000, 6.400000
81, 18, 0.000000, 6.400000
81, 19, 0.000000, 6.400000
86, 0, 0.000000, 4.800000
86, 1, 0.000000, 8.800000
86, 2, 0.000000, 9.600000
86, 3, 0.000000, 4.800000
86, 4, 0.000000, 5.600000
86, 5, 0.000000, 8.800000
86, 6, 0.000000, 3.200000
86, 7, 0.000000, 3.200000
86, 8, 0.000000, 4.000000
86, 9, 0.000000, 4.800000
86, 10, 0.000000, 4.800000
86, 11, 0.000000, 4.000000
86, 12, 0.000000, 4.000000
86, 13, 0.000000, 3.200000
86, 14, 0.000000, 4.000000
86, 15, 0.000000, 6.400000
86, 16, 0.000000, 5.600000
86, 17, 0.000000, 6.400000
86, 18, 0.000000, 4.000000
86, 19, 0.000000, 7.200000
91, 0, 0.000000, 3.200000
91, 1, 0.000000, 4.000000
91, 2, 0.000000, 5.600000
91, 3, 0.000000, 4.800000
91, 4, 0.000000, 5.600000
91, 5, 0.000000, 7.200000
91, 6, 0.000000, 4.000000
91, 7, 0.000000, 6.400000
91, 8, 0.000000, 8.000000
91, 9, 0.000000, 6.400000
91, 10, 0.000000, 3.200000
91, 11, 0.000000, 5.600000
91, 12, 0.000000, 5.600000
91, 13, 0.000000, 6.400000
91, 14, 0.000000, 5.600000
91, 15, 0.000000, 6.400000
91, 16, 0.000000, 7.200000
91, 17, 0.000000, 4.000000
91, 18, 0.000000, 4.800000
91, 19, 0.000000, 4.800000
96, 0, 0.000000, 8.000000
96, 1, 0.000000, 5.600000
96, 2, 0.000000, 5.600000
96, 3, 0.000000, 3.200000
96, 4, 0.000000, 4.000000
96, 5, 0.000000, 7.200000
96, 6, 0.000000, 9.600000
96, 7, 0.000000, 3.200000
96, 8, 0.000000, 5.600000
96, 9, 0.000000, 4.000000
96, 10, 0.000000, 4.800000
96, 11, 0.000000, 7.200000
96, 12, 0.000000, 6.400000
96, 13, 0.000000, 5.600000
96, 14, 0.000000, 4.800000
96, 15, 0.000000, 7.200000
96, 16, 0.000000, 7.200000
96, 17, 0.000000, 6.400000
96, 18, 0.000000, 3.200000
96, 19, 0.000000, 7.200000
101, 0, 0.000000, 6.400000
101, 1, 0.000000, 3.200000
101, 2, 0.000000, 5.600000
101, 3, 0.000000, 4.000000
101, 4, 0.000000, 8.800000
101, 5, 0.000000, 3.200000
101, 6, 0.000000, 4.000000
101, 7, 0.000000, 7.200000
101, 8, 0.000000, 5.600000
101, 9, 0.000000, 4.000000
101, 10, 0.000000, 4.800000
101, 11, 0.000000, 7.200000
101, 12, 0.000000, 4.800000
101, 13, 0.000000, 4.800000
101, 14, 0.000000, 7.200000
101, 15, 0.000000, 5.600000
101, 16, 0.000000, 4.000000
101, 17, 0.000000, 4.800000
101, 18, 0.000000, 3.200000
101, 19, 0.000000, 3.200000
106, 0, 0.000000, 6.400000
106, 1, 0.000000, 7.200000
106, 2, 0.000000, 3.200000
106, 3, 0.000000, 4.000000
106, 4, 0.000000, 8.800000
106, 5, 0.000000, 4.800000
106, 6, 0.000000, 4.000000
106, 7, 0.000000, 10.400000
106, 8, 0.000000, 7.200000
106, 9, 0.000000, 4.000000
106, 10, 0.000000, 2.400000
106, 11, 0.000000, 3.200000
106, 12, 0.000000, 6.400000
106, 13, 0.000000, 8.800000
106, 14, 0.000000, 7.200000
106, 15, 0.000000, 5.600000
106, 16, 0.000000, 4.000000
106, 17, 0.000000, 4.000000
106, 18, 0.000000, 4.000000
106, 19, 0.000000, 5.600000
111, 0, 0.000000, 4.000000
111, 1, 0.000000, 4.800000
111, 2, 0.000000, 4.800000
111, 3, 0.000000, 4.000000
111, 4, 0.000000, 5.600000
111, 5, 0.000000, 7.200000
111, 6, 0.000000, 4.000000
111, 7, 0.000000, 4.800000
111, 8, 0.000000, 8.000000
111, 9, 0.000000, 5.600000
111, 10, 0.000000, 4.800000
111, 11, 0.000000, 3.200000
111, 12, 0.000000, 3.200000
111, 13, 0.000000, 4.800000
111, 14, 0.000000, 6.400000
111, 15, 0.000000, 2.400000
111, 16, 0.000000, 5.600000
111, 17, 0.000000, 5.600000
111, 18, 0.000000, 4.800000
111, 19, 0.000000, 4.800000
116, 0, 0.000000, 4.000000
116, 1, 0.000000, 6.400000
116, 2, 0.000000, 6.400000
116, 3, 0.000000, 4.000000
116, 4, 0.000000, 8.800000
116, 5, 0.000000, 5.600000
116, 6, 0.000000, 9.600000
116, 7, 0.000000, 3.200000
116, 8, 0.000000, 7.200000
116, 9, 0.000000, 6.400000
116, 10, 0.000000, 7.200000
116, 11, 0.000000, 3.200000
116, 12, 0.000000, 3.200000
116, 13, 0.000000, 7.200000
116, 14, 0.000000, 5.600000
116, 15, 0.000000, 8.800000
116, 16, 0.000000, 4.800000
116, 17, 0.000000, 4.000000
116, 18, 0.000000, 7.200000
116, 19, 0.000000, 4.800000
121, 0, 0.000000, 7.200000
121, 1, 0.000000, 0.800000
121, 2, 0.000000, 7.200000
121, 3, 0.000000, 5.600000
121, 4, 0.000000, 1.600000
121, 5, 0.000000, 7.200000
121, 6, 0.000000, 7.200000
121, 7, 0.000000, 4.000000
121, 8, 0.000000, 4.800000
121, 9, 0.000000, 2.400000
121, 10, 0.000000, 3.200000
121, 11, 0.000000, 5.600000
121, 12, 0.000000, 4.800000
121, 13, 0.000000, 4.000000
121, 14, 0.000000, 2.400000
121, 15, 0.000000, 5.600000
121, 16, 0.000000, 7.200000
121, 17, 0.000000, 7.200000
121, 18, 0.000000, 7.200000
121, 19, 0.000000, 4.000000
126, 0, 0.000000, 8.800000
126, 1, 0.000000, 8.000000
126, 2, 0.000000, 2.400000
126, 3, 0.000000, 5.600000
126, 4, 0.000000, 5.600000
126, 5, 0.000000, 8.000000
126, 6, 0.000000, 4.000000
126, 7, 0.000000, 8.800000
126, 8, 0.000000, 4.000000
126, 9, 0.000000, 8.000000
126, 10, 0.000000, 3.200000
126, 11, 0.000000, 5.600000
126, 12, 0.000000, 4.000000
126, 13, 0.000000, 6.400000
126, 14, 0.000000, 5.600000
126, 15, 0.000000, 6.400000
126, 16, 0.000000, 5.600000
126, 17, 0.000000, 8.000000
126, 18, 0.000000, 3.200000
126, 19, 0.000000, 4.000000
131, 0, 0.000000, 5.600000
131, 1, 0.000000, 4.800000
131, 2, 0.000000, 4.000000
131, 3, 0.000000, 5.600000
131, 4, 0.000000, 5.600000
131, 5, 0.000000, 5.600000
131, 6, 0.000000, 4.800000
131, 7, 0.000000, 7.200000
131, 8, 0.000000, 4.800000
131, 9, 0.000000, 4.000000
131, 10, 0.000000, 6.400000
131, 11, 0.000000, 7.200000
131, 12, 0.000000, 3.200000
131, 13, 0.000000, 4.800000
131, 14, 0.000000, 5.600000
131, 15, 0.000000, 11.200000
131, 16, 0.000000, 2.400000
131, 17, 0.000000, 6.400000
131, 18, 0.000000, 5.600000
131, 19, 0.000000, 4.000000
136, 0, 0.000000, 4.800000
136, 1, 0.000000, 4.000000
136, 2, 0.000000, 5.600000
136, 3, 0.000000, 3.200000
136, 4, 0.000000, 4.800000
136, 5, 0.000000, 4.800000
136, 6, 0.000000, 4.000000
136, 7, 0.000000, 3.200000
136, 8, 0.000000, 3.200000
136, 9, 0.000000, 4.800000
136, 10, 0.000000, 3.200000
136, 11, 0.000000, 4.000000
136, 12, 0.000000, 1.600000
136, 13, 0.000000, 2.400000
136, 14, 0.000000, 4.800000
136, 15, 0.000000, 3.200000
136, 16, 0.000000, 5.600000
136, 17, 0.000000, 7.200000
136, 18, 0.000000, 4.000000
136, 19, 0.000000, 3.200000
141, 0, 0.000000, 4.800000
141, 1, 0.000000, 4.000000
141, 2, 0.000000, 4.800000
141, 3, 0.000000, 6.400000
141, 4, 0.000000, 5.600000
141, 5, 0.000000, 2.400000
141, 6, 0.000000, 7.200000
141, 7, 0.000000, 5.600000
141, 8, 0.000000, 7.200000
141, 9, 0.000000, 4.000000
141, 10, 0.000000, 3.200000
141, 11, 0.000000, 4.000000
141, 12, 0.000000, 4.800000
141, 13, 0.000000, 2.400000
141, 14, 0.000000, 3.200000
141, 15, 0.000000, 4.800000
141, 16, 0.000000, 5.600000
141, 17, 0.000000, 4.000000
141, 18, 0.000000, 4.800000
141, 19, 0.000000, 4.800000
146, 0, 0.000000, 8.000000
146, 1, 0.000000, 0.800000
146, 2, 0.000000, 4.800000
146, 3, 0.000000, 5.600000
146, 4, 0.000000, 8.000000
146, 5, 0.000000, 8.800000
146, 6, 0.000000, 4.800000
146, 7, 0.000000, 3.200000
146, 8, 0.000000, 7.200000
146, 9, 0.000000, 2.400000
146, 10, 0.000000, 6.400000
146, 11, 0.000000, 4.800000
146, 12, 0.000000, 7.200000
146, 13, 0.000000, 4.800000
146, 14, 0.000000, 1.600000
146, 15, 0.000000, 1.600000
146, 16, 0.000000, 7.200000
146, 17, 0.000000, 3.200000
146, 18, 0.000000, 4.000000
146, 19, 0.000000, 5.600000
151, 0, 0.000000, 5.600000
151, 1, 0.000000, 3.200000
151, 2, 0.000000, 3.200000
151, 3, 0.000000, 4.000000
151, 4, 0.000000, 3.200000
151, 5, 0.000000, 4.800000
151, 6, 0.000000, 3.200000
151, 7, 0.000000, 3.200000
151, 8, 0.000000, 6.400000
151, 9, 0.000000, 3.200000
151, 10, 0.000000, 5.600000
151, 11, 0.000000, 1.600000
151, 12, 0.000000, 5.600000
151, 13, 0.000000, 5.600000
151, 14, 0.000000, 5.600000
151, 15, 0.000000, 2.400000
151, 16, 0.000000, 6.400000
151, 17, 0.000000, 5.600000
151, 18, 0.000000, 4.800000
151, 19, 0.000000, 10.400000
156, 0, 0.000000, 4.800000
156, 1, 0.000000, 3.200000
156, 2, 0.000000, 5.600000
156, 3, 0.000000, 8.800000
156, 4, 0.000000, 4.800000
156, 5, 0.000000, 1.600000
156, 6, 0.000000, 9.600000
156, 7, 0.000000, 6.400000
156, 8, 0.000000, 9.600000
156, 9, 0.000000, 3.200000
156, 10, 0.000000, 3.200000
156, 11, 0.000000, 7.200000
156, 12, 0.000000, 5.600000
156, 13, 0.000000, 4.000000
156, 14, 0.000000, 3.200000
156, 15, 0.000000, 2.400000
156, 16, 0.000000, 6.400000
156, 17, 0.000000, 6.400000
156, 18, 0.000000, 4.000000
156, 19, 0.000000, 4.800000
161, 0, 0.000000, 7.200000
161, 1, 0.000000, 2.400000
161, 2, 0.000000, 1.600000
161, 3, 0.000000, 4.800000
161, 4, 0.000000, 6.400000
161, 5, 0.000000, 2.400000
161, 6, 0.000000, 4.000000
161, 7, 0.000000, 3.200000
161, 8, 0.000000, 4.800000
161, 9, 0.000000, 4.800000
161, 10, 0.000000, 7.200000
161, 11, 0.000000, 3.200000
161, 12, 0.000000, 2.400000
161, 13, 0.000000, 3.200000
161, 14, 0.000000, 4.000000
161, 15, 0.000000, 5.600000
161, 16, 0.000000, 4.800000
161, 17, 0.000000, 3.200000
161, 18, 0.000000, 4.800000
161, 19, 0.000000, 5.600000
166, 0, 0.000000, 8.800000
166, 1, 0.000000, 5.600000
166, 2, 0.000000, 4.800000
166, 3, 0.000000, 4.000000
166, 4, 0.000000, 4.000000
166, 5, 0.000000, 3.200000
166, 6, 0.000000, 4.800000
166, 7, 0.000000, 4.800000
166, 8, 0.000000, 6.400000
166, 9, 0.000000, 5.600000
166, 10, 0.000000, 4.000000
166, 11, 0.000000, 8.000000
166, 12, 0.000000, 6.400000
166, 13, 0.000000, 3.200000
166, 14, 0.000000, 6.400000
166, 15, 0.000000, 7.200000
166, 16, 0.000000, 4.800000
166, 17, 0.000000, 4.800000
166, 18, 0.000000, 2.400000
166, 19, 0.000000, 1.600000
171, 0, 0.000000, 8.000000
171, 1, 0.000000, 4.800000
171, 2, 0.000000, 12.800000
171, 3, 0.000000, 6.400000
171, 4, 0.000000, 5.600000
171, 5, 0.000000, 4.800000
171, 6, 0.000000, 6.400000
171, 7, 0.000000, 4.000000
171, 8, 0.000000, 3.200000
171, 9, 0.000000, 4.800000
171, 10, 0.000000, 4.000000
171, 11, 0.000000, 6.400000
171, 12, 0.000000, 2.400000
171, 13, 0.000000, 2.400000
171, 14, 0.000000, 7.200000
171, 15, 0.000000, 4.800000
171, 16, 0.000000, 3.200000
171, 17, 0.000000, 7.200000
171, 18, 0.000000, 4.000000
171, 19, 0.000000, 5.600000
176, 0, 0.000000, 4.800000
176, 1, 0.000000, 4.800000
176, 2, 0.000000, 3.200000
176, 3, 0.000000, 3.200000
176, 4, 0.000000, 4.800000
176, 5, 0.000000, 0.800000
176, 6, 0.000000, 8.000000
176, 7, 0.000000, 3.200000
176, 8, 0.000000, 4.800000
176, 9, 0.000000, 3.200000
176, 10, 0.000000, 6.400000
176, 11, 0.000000, 7.200000
176, 12, 0.000000, 4.000000
176, 13, 0.000000, 3.200000
176, 14, 0.000000, 5.600000
176, 15, 0.000000, 4.000000
176, 16, 0.000000, 10.400000
176, 17, 0.000000, 6.400000
176, 18, 0.000000, 4.000000
176, 19, 0.000000, 3.200000
181, 0, 0.000000, 0.000000
181, 1, 0.000000, 4.800000
181, 2, 0.000000, 1.600000
181, 3, 0.000000, 6.400000
181, 4, 0.000000, 7.200000
181, 5, 0.000000, 2.400000
181, 6, 0.000000, 7.200000
181, 7, 0.000000, 5.600000
181, 8, 0.000000, 4.800000
181, 9, 0.000000, 4.800000
181, 10, 0.000000, 4.800000
181, 11, 0.000000, 5.600000
181, 12, 0.000000, 1.600000
181, 13, 0.000000, 6.400000
181, 14, 0.000000, 7.200000
181, 15, 0.000000, 4.000000
181, 16, 0.000000, 5.600000
181, 17, 0.000000, 7.200000
181, 18, 0.000000, 7.200000
181, 19, 0.000000, 8.000000
186, 0, 0.000000, 5.600000
186, 1, 0.000000, 4.000000
186, 2, 0.000000, 6.400000
186, 3, 0.000000, 4.800000
186, 4, 0.000000, 7.200000
186, 5, 0.000000, 3.200000
186, 6, 0.000000, 4.000000
186, 7, 0.000000, 8.800000
186, 8, 0.000000, 6.400000
186, 9, 0.000000, 7.200000
186, 10, 0.000000, 8.000000
186, 11, 0.000000, 8.000000
186, 12, 0.000000, 6.400000
186, 13, 0.000000, 3.200000
186, 14, 0.000000, 6.400000
186, 15, 0.000000, 3.200000
186, 16, 0.000000, 6.400000
186, 17, 0.000000, 4.800000
186, 18, 0.000000, 7.200000
186, 19, 0.000000, 2.400000
191, 0, 0.000000, 5.600000
191, 1, 0.000000, 0.000000
191, 2, 0.000000, 7.200000
191, 3, 0.000000, 4.000000
191, 4, 0.000000, 5.600000
191, 5, 0.000000, 4.800000
191, 6, 0.000000, 4.000000
191, 7, 0.000000, 5.600000
191, 8, 0.000000, 3.200000
191, 9, 0.000000, 1.600000
191, 10, 0.000000, 2.400000
191, 11, 0.000000, 2.400000
191, 12, 0.000000, 3.200000
191, 13, 0.000000, 5.600000
191, 14, 0.000000, 4.000000
191, 15, 0.000000, 4.800000
191, 16, 0.000000, 7.200000
191, 17, 0.000000, 4.000000
191, 18, 0.000000, 5.600000
191, 19, 0.000000, 6.400000
196, 0, 0.000000, 3.200000
196, 1, 0.000000, 7.200000
196, 2, 0.000000, 1.600000
196, 3, 0.000000, 6.400000
196, 4, 0.000000, 1.600000
196, 5, 0.000000, 3.200000
196, 6, 0.000000, 2.400000
196, 7, 0.000000, 8.000000
196, 8, 0.000000, 3.200000
196, 9, 0.000000, 8.000000
196, 10, 0.000000, 5.600000
196, 11, 0.000000, 4.800000
196, 12, 0.000000, 6.400000
196, 13, 0.000000, 5.600000
196, 14, 0.000000, 5.600000
196, 15, 0.000000, 3.200000
196, 16, 0.000000, 5.600000
196, 17, 0.000000, 4.800000
196, 18, 0.000000, 4.000000
196, 19, 0.000000, 7.200000
201, 0, 0.000000, 5.600000
201, 1, 0.000000, 0.800000
201, 2, 0.000000, 3.200000
201, 3, 0.000000, 4.800000
201, 4, 0.000000, 4.800000
201, 5, 0.000000, 6.400000
201, 6, 0.000000, 4.000000
201, 7, 0.000000, 4.000000
201, 8, 0.000000, 4.000000
201, 9, 0.000000, 5.600000
201, 10, 0.000000, 1.600000
201, 11, 0.000000, 4.800000
201, 12, 0.000000, 8.000000
201, 13, 0.000000, 2.400000
201, 14, 0.000000, 6.400000
201, 15, 0.000000, 4.800000
201, 16, 0.000000, 1.600000
201, 17, 0.000000, 3.200000
201, 18, 0.000000, 5.600000
